Model Used,Anaysis case,Accuracy,f1_score,auc_score
RandomForestClassifier,1,0.796,0.832786885,0.781995231
,2,0.792,0.830065359,0.77709327
,3,0.788,0.822742475,0.778285639
SVM,1,0.724,0.785046729,0.695283519
,2,0.72,0.78125,0.69190514
,3,0.704,0.775757576,0.66772655
LogisticRegression,1,0.588,0.675078864,0.557564918
,2,0.592,0.67721519,0.562466879
,3,0.6,0.689440994,0.566176471
ExtraTreesClassifier,1,0.82,0.847457627,0.81445416
,2,0.824,0.851351351,0.817832538
,3,0.828,0.854237288,0.822734499
BaggingClassifier,1,0.78,0.802867384,0.785241123
,2,0.72,0.746376812,0.725423953
,3,0.74,0.76702509,0.743839428
DecisionTreeClassifier,1,0.704,0.74829932,0.695151033
,2,0.688,0.732876712,0.680113937
,3,0.684,0.734006734,0.672164812
AdaBoostClassifier,1,0.604,0.662116041,0.592408585
,2,0.628,0.678200692,0.620296767
,3,0.624,0.682432432,0.610824059
Basic_LSTM(lookback = 2),1,0.425702811,0.380952381,0.453581433
,2,0.411290323,0.317757009,0.452279922
,3,0.508130081,0.493723849,0.530180949
Basic_LSTM(lookback = 3),1,0.413654618,0.120481928,0.489895958
,2,0.528225806,0.597938144,0.51374015
,3,0.467479675,0.543554007,0.452133834
Basic_LSTM(lookback = 5),1,0.485943775,0.529411765,0.485094038
,2,0.528225806,0.571428571,0.52768236
,3,0.483739837,0.50965251,0.489962445
Conv(lookback = 2),1,0.506024096,0.528735632,0.514105642
,2,0.483870968,0.573333333,0.460833838
,3,0.459349593,0.536585366,0.443735063
Conv(lookback = 3),1,0.518072289,0.583333333,0.506302521
,2,0.524193548,0.624203822,0.491749175
,3,0.540650407,0.660660661,0.493171731
Conv(lookback = 5),1,0.510040161,0.541353383,0.514505802
,2,0.407258065,0,0.5
,3,0.491869919,0.59807074,0.459303517
LSTM(lookback = 2),1,0.558232932,0.647435897,0.529811925
,2,0.516129032,0.487179487,0.5453627
,3,0.524390244,0.548262548,0.531956299
LSTM(lookback = 3),1,0.534136546,0.6,0.521408563
,2,0.532258065,0.602739726,0.51714151
,3,0.540650407,0.622073579,0.518709457
LSTM(lookback = 5),1,0.514056225,0.575438596,0.504401761
,2,0.52016129,0.604651163,0.497642621
,3,0.508130081,0.532818533,0.515158757
